,node_id,name,prop_id,definition
0,40567,Openness to experience,trt_htFsRDr1yFWjp,"Openness reflects the degree of intellectual curiosity, creativity and a preference for novelty and variety a person has. (https://en.wikipedia.org/wiki/Big_Five_personality_traits)"
1,40569,Conscientiousness,trt_p81w92xKZ2fyl,"A tendency to be organized and dependable, show self-discipline, act dutifully, aim for achievement, and prefer planned rather than spontaneous behavior. (https://en.wikipedia.org/wiki/Big_Five_personality_traits)"
2,40570,Extraversion,trt_8qMThTvgNstWp,"Energy, positive emotions, surgency, assertiveness, sociability and the tendency to seek stimulation in the company of others, and talkativeness. (https://en.wikipedia.org/wiki/Big_Five_personality_traits)"
3,40571,Agreeableness,trt_d0UlwWsGh6zUg,A tendency to be compassionate and cooperative rather than suspicious and antagonistic towards others. (https://en.wikipedia.org/wiki/Big_Five_personality_traits)
4,40572,Neuroticism,trt_VdTXG97NL4gnP,"The tendency to experience unpleasant emotions easily, such as anger, anxiety, depression, and vulnerability. (https://en.wikipedia.org/wiki/Big_Five_personality_traits)"
5,43608,Honesty,trt_uZmL0Lyf1lpN5,"Tendency towards sincerity, modesty, fairness, and greed avoidance. (https://en.wikipedia.org/wiki/Trait_theory#List_of_personality_traits)"
6,43609,Self-esteem,trt_gz8bhzo8xSq7E,"A ""favorable or unfavorable attitude toward the self"" (Rosenberg, 1965). An individual's sense of his or her value or worth, or the extent to which a person values, approves of, appreciates, prizes, or likes him or herself"" (Blascovich & Tomaka, 1991) https://en.wikipedia.org/wiki/Trait_theory#List_of_personality_traits"
7,43610,Harm avoidance,trt_CQ1iTI0OJWo38,"A tendency towards shyness, being fearful and uncertain, tendency to worry. https://en.wikipedia.org/wiki/Trait_theory#List_of_personality_traits"
8,43611,Novelty seeking,trt_Fz33idFA1UwJY,"Impulsive, exploratory, fickle, excitable, quick-tempered, and extravagant. https://en.wikipedia.org/wiki/Trait_theory#List_of_personality_traits"
9,43612,Alexithymia,trt_CcsbUNybkqICm,The inability to express emotions.
10,43614,Sensation-seeking,trt_53BbM9qbLFnZH,"a personality trait defined by the search for experiences and feelings, that are ""varied, novel, complex and intense"", and by the readiness to ""take physical, social, legal, and financial risks for the sake of such experiences."" https://en.wikipedia.org/wiki/Sensation_seeking"
11,43615,Self-directedness,trt_qo72x5nn9WYWK,"a personality trait of self-determination, that is, the ability to regulate and adapt behavior to the demands of a situation in order to achieve personally chosen goals and values. https://en.wikipedia.org/wiki/Self-directedness"
12,43616,Reward dependence,trt_sEagfiGp9xb7u,"a tendency to respond markedly to signals of reward, particularly to verbal signals of social approval, social support, and sentiment. https://en.wikipedia.org/wiki/Reward_dependence"
13,43617,Persistence,trt_DQG5f2BDzXbpd,perseverance in spite of fatigue or frustration. https://en.wikipedia.org/wiki/Persistence_(psychology)
14,43618,Cooperativeness,trt_9HVimkCRCl5g0,the degree to which a person is generally agreeable in their relations with other people as opposed to aggressively self-centred and hostile.  https://en.wikipedia.org/wiki/Cooperativeness
15,43619,Self-transcendence,trt_knABJHPfAsOLm,a personality trait associated with experiencing spiritual ideas such as considering oneself an integral part of the universe. https://en.wikipedia.org/wiki/Self-transcendence
16,43620,Impulsiveness,trt_twP4RTdKbwxt0,"a tendency to act on a whim, displaying behavior characterized by little or no forethought, reflection, or consideration of the consequences. https://en.wikipedia.org/wiki/Impulsivity"
